district_id,avgExpenditure,averageTotalExpenditure
214,58.215431424196936,167.25900900900902
215,81.29936809464246,236.5731707317073
212,98.63051662771974,197.70150753768843
213,76.12464327929753,194.4255319148936
211,45.40174919511086,124.57643854273067
264,68.44444444444444,118.16666666666667
218,69.71875,169.125
132,74.94096240786443,196.20277920741123
131,80.06142896318454,209.188242236483
130,71.50292307692308,292.88
137,77.2473682749557,182.6643754444181
136,74.18772994760599,200.1204754186926
135,68.64169934049868,214.34545454545454
134,74.33277247712694,198.17723557096855
139,77.40719633128074,190.43933657833063
166,63.45172606116079,157.843737494998
25,53.96612469612469,115.46306306306306
26,63.99418165794348,167.99742851066298
27,45.777580458262285,152.7689393939394
20,42.98033189283675,101.50332787779597
21,62.08577385916028,162.89572247237004
22,72.52119509790839,200.59390862944161
23,56.53104581545458,127.1271065020127
160,69.24786078151763,173.30535152151103
161,58.62886368341354,153.74604221635883
221,51.29715608465609,124.52777777777777
281,68.83826530612244,205.66666666666666
163,67.94451462113729,174.0485021398003
284,69.33834559015281,187.65060240963857
286,71.28219487774969,199.3594760989765
119,71.59877117488769,240.45631067961165
120,65.05318932353642,155.51026549346741
121,89.88330617316885,229.41617794684842
122,86.264034480216,224.34646694887658
123,71.11229022970345,192.3339439457776
124,72.60784712336374,207.735883424408
125,100.8170457485642,215.82946981868258
126,74.2392504845977,198.10528972339995
127,68.06141290328964,185.78748697836878
128,71.03365147658111,180.05813077802014
129,67.5908343994295,204.50549884105143
224,56.83663520459698,145.0522890237176
118,56.23814022298602,152.57161609721337
59,58.2382448356027,133.95716395864108
58,51.188561164457035,119.57371260421776
55,57.693690476190476,178.55
54,74.47480411956721,217.306971294669
57,67.77068624286356,156.5354936890162
56,55.848682776593236,150.79701492537313
51,74.5599785088357,212.78241996744438
50,89.02568412427865,164.84782918149466
53,81.980106490574,211.41970387243737
52,73.65618739937611,172.57193515704154
164,80.26371396304849,173.78984275393114
201,85.75231733434237,241.04911838790932
199,53.198750862663935,155.43478260869566
179,68.34681690384647,180.61679389312977
200,48.12747464392189,166.07028531663187
195,104.90997679942538,283.1671018276762
194,66.60832637148427,186.7719298245614
178,56.48319306981292,150.81082558775287
191,56.03717544451237,104.21106094808127
190,67.38170521846833,191.4520634920635
192,68.34986775588244,208.58555555555554
115,64.32580431477503,184.84459691252144
114,78.85795837183058,185.2543305623926
117,94.70379675110526,208.5431746355388
89,63.82225983175895,181.0042780748663
111,99.56532985782127,212.16194551591127
110,78.1249723536679,183.52545404512932
113,93.3248441341535,213.37154779969651
112,72.36018587180634,174.18368495077357
82,65.80663949986979,192.70453134698946
83,74.79615712095149,136.47406908171862
81,79.21916531396988,175.4955890765664
86,97.78030872608755,190.79328165374676
87,76.04195277910415,197.81961928154743
84,64.29026343463622,123.68093620585361
85,63.748602565449744,144.8445370538141
226,52.28066378066378,124.0
7,67.66824130900348,235.35580828594638
225,66.29485566569353,159.0569892811115
109,44.5702478833641,66.4514074223274
241,50.29814796880424,61.90430107526882
240,71.39243799614083,176.4182389937107
102,69.12535969578437,186.4875128998968
103,73.71328082165773,183.24256850905712
100,77.37764373912285,209.20207969080704
101,72.52137321138679,206.81098476721735
106,73.52330020128328,166.6317945594404
107,66.32538101730145,191.26639757820382
104,62.44097333732565,182.51957295373666
105,76.20066647027734,150.4117954070981
39,59.32548518477333,121.71109010712036
38,71.08586292664938,177.87967767295598
33,54.16873601056664,164.4786035148554
32,75.39959399391486,168.3581835842642
31,84.73991969181128,215.6210302205926
30,64.92774866703988,143.0913968373494
37,76.58281114084949,204.07134888438134
36,63.025356415163266,158.8755364806867
177,68.63358551519515,173.10467431497108
34,44.57591984710548,113.07589285714286
223,58.438191244239654,190.66129032258064
60,75.56040961608274,180.17315043849786
61,85.76165079915079,188.80180180180182
62,87.3611111111111,130.41666666666666
63,67.94986796792871,161.7741038625757
64,67.61833304712391,177.75739813339405
65,82.9555918689178,183.1131434121075
66,88.44492921741791,206.56889247528747
67,78.85790422398115,220.16923076923078
68,86.55988297214103,141.09115744520506
69,83.13577413087538,225.25289778714435
175,73.42337897238924,111.11268027048052
174,73.41539430312473,187.54035770549532
173,69.70235305830104,172.22607035724025
172,65.26265004087875,160.05426230125366
171,98.38434250822874,253.4159702878366
198,70.46556270920196,177.44578313253012
222,54.47086247086248,174.47272727272727
182,59.70399464155065,139.1039771250325
183,66.04486511752135,157.34375
180,78.91188031425261,249.0607553366174
181,44.47097817473654,98.1947920390895
167,63.10921052631578,157.68421052631578
187,59.27636523352297,177.7975729862821
6,52.3881977866944,127.91852570320077
186,42.16305037989555,91.95224312590449
188,61.34999327414581,169.15254237288136
189,58.39811410640215,181.07509157509156
202,71.5,110.2
196,68.45323236579877,182.74772309811726
273,63.92202380952379,215.05555555555554
185,55.55494697131248,182.8696996466431
99,92.41443690012615,216.19929178470255
98,64.88587194217547,179.89527520701412
169,70.744053350787,216.14045704995033
91,64.34654416289415,146.36188331627432
165,62.74304896714759,142.3454706527125
93,73.77200191228061,159.05302515295716
92,59.92630539262711,162.75732278851785
95,75.37355948643547,237.5222222222222
94,82.76330527040805,214.0795289328293
97,62.19688708974528,166.38623775031957
96,79.63944658030935,198.64167585446526
10,85.56788933481643,153.22569444444446
12,76.84983346983348,209.66216216216216
15,65.9766889470627,196.13697010640095
14,90.49125723673916,204.97590361445782
16,65.72401617123359,170.09931506849315
19,58.067502781299865,207.80898876404495
18,86.08686534906417,207.57630522088354
272,62.59178768704044,172.28621382988024
116,38.31146497311725,70.44922496025437
274,54.21398645466392,134.65447415329768
275,77.78620129870131,237.63636363636363
151,65.85910458892319,173.52004454342983
150,56.889609980014946,141.65948717948717
153,71.9602027942804,169.94284386617102
155,65.10764676080994,172.5101367279585
154,86.9955452335077,224.38611039129307
157,89.33333333333334,311.0
156,79.29830402029405,203.2226916113458
159,76.09878083437773,201.80392156862746
277,74.81100031232386,231.64102564102564
278,79.60765434961863,209.76785714285714
279,36.4066832329849,54.15134606326316
234,48.11569166709879,139.59287054409006
235,50.34449986125172,90.92697551573988
236,72.92827665950101,197.87596899224806
231,71.78682930402931,198.504
232,67.35442383850092,201.9655172413793
233,62.77761914064489,179.98876404494382
48,62.87674035911636,178.83333333333334
49,55.00622603694214,201.78460207612457
47,78.03493788819875,175.2111801242236
45,75.33706238958096,190.84500745156484
42,60.63757640828293,152.2754170280059
43,92.33918659587412,224.7265620901317
40,55.50340091094564,126.91359634822302
41,76.27504920371649,165.9652027027027
9,63.650743483946606,177.21875
146,64.49987932391498,149.81643410852712
147,78.58366232532899,255.09259259259258
144,68.65566753795915,190.44412707665404
145,110.08309004919307,279.95770925110133
142,83.59367316280334,221.77056277056278
143,78.77020603719278,195.781388478582
140,67.59910812620383,161.66516613076098
141,79.02022102708537,168.2148867149881
209,45.99166666666667,209.75
76,67.55704072777063,172.9410080183276
75,90.80045690055984,253.55084033613446
74,80.02198159938494,179.79426297888725
72,73.96581177658949,167.96764252696457
71,72.39942523130243,163.5330964467005
70,70.99843558257963,175.67714999862665
79,86.91586980459716,217.67700862696185
78,80.29242451574748,201.6274191165608
282,69.32827554600449,165.89563218390805
