district_name,Asia,district_id
ATASEHIR,1,4
AVCILAR,0,88
BAGCILAR,0,77
BAHCELIEVLER,0,81
BAKIRKOY,0,34
BASAKSEHIR,0,53
BAYRAMPASA,0,70
BESIKTAS,0,33
BEYKOZ,1,9
BEYLIKDUZU,0,120
BEYOGLU,0,17
BUYUKCEKMECE,0,60
CATALCA,0,15
CEKMEKOY,1,141
ESENLER,0,79
ESENYURT,0,42
EYUP,0,82
FATIH,0,84
GAZIOSMANPASA,0,100
GUNGOREN,0,2
KADIKOY,1,50
KAGITHANE,0,123
KARTAL,1,96
KUCUKCEKMECE,0,121
MALTEPE,1,160
PENDIK,1,65
SANCAKTEPE,1,38
SARIYER,0,59
SILIVRI,0,31
SISLI,0,115
SULTANBEYLI,1,98
SULTANGAZI,0,86
TUZLA,1,87
UMRANIYE,1,63
USKUDAR,1,61
ZEYTINBURNU,0,12