UA,popdse,weightedEigenCentralityDist,HPI,district_id,district_name,delta1416p
1.885025268,1.465398275,0.068202383,1.787355177,60,BUYUKCEKMECE,7.671002009
1.841365409,15.29759479,0.163089752,2.510654017,61,USKUDAR,-0.927345168
2.030148068,15.19529801,0.129724825,1.932627668,63,UMRANIYE,25.40491868
1.678273279,3.783218646,0.073148542,1.691420093,65,PENDIK,-20.16025279
1.863022622,1.645520295,0.229875439,3.182143216,82,EYUP,28.28156524
1.916026973,36.33313217,0.206806812,2.21720178,81,BAHCELIEVLER,-18.22705413
1.693826116,14.39083885,0.171144584,1,86,SULTANGAZI,-12.52717673
1.511652781,1.892233166,0.057618274,1.425346194,87,TUZLA,-10.49099161
1.890884179,26.32423101,0.209807084,2.312818232,84,FATIH,-19.59988506
1.998635667,17.22657699,0.100091941,1.431794555,42,ESENYURT,35.41683924
1.663087721,42.12914923,0.239079239,2.75654496,2,GUNGOREN,-25.71038756
1.908663944,16.21059142,0.131579712,2.943930037,4,ATASEHIR,-22.39242782
1.775356534,0.804636551,0.119652483,3.045922631,9,BEYKOZ,-23.31514037
2.089674424,7.833533448,0.232178592,4.003166212,115,SISLI,95.33836307
2.092630162,1.566126199,0.102202338,1.45201876,141,CEKMEKOY,49.31999104
1.700380942,33.801875,0.211079455,2.525067355,77,BAGCILAR,-21.25439055
2.056547038,11.14795565,0.081805621,1.504975914,98,SULTANBEYLI,97.99874805
1.464872503,25.61317418,0.213442491,2.628020596,12,ZEYTINBURNU,-36.83898059
1.956377312,28.67094737,0.262835918,2.335835958,70,BAYRAMPASA,-6.046738491
1.383727351,0.064713289,0.046729395,1.00208261,15,CATALCA,-39.83705486
1.603787529,42.97737789,0.253541777,2.211793406,100,GAZIOSMANPASA,-6.256270566
1.837454427,9.18464003,0.107385096,2.022774057,160,MALTEPE,-6.764256093
1.688708668,24.85051324,0.254101783,1.902643732,79,ESENLER,-1.945594721
1.763199324,11.87213285,0.088778887,1.892188667,96,KARTAL,-6.841035368
1.452210686,7.419157393,0.092129076,1.435659976,120,BEYLIKDUZU,-38.8997323
1.614604343,5.735930176,0.097007339,1.668343814,38,SANCAKTEPE,-5.427153469
1.848118882,2.275280973,0.125897991,4.486088789,59,SARIYER,-3.616261161
1.897619189,27.03683036,0.217076006,4.946176181,17,BEYOGLU,8.904099162
1.729813273,20.28962943,0.157847877,2.079122593,121,KUCUKCEKMECE,-22.96330989
1.843338418,10.53398004,0.204967095,6.237043191,33,BESIKTAS,9.816694206
1.752354405,0.189858656,0.034418078,1.351666113,31,SILIVRI,-14.85175036
1.882086009,18.58611887,0.141964279,3.011709765,50,KADIKOY,-7.405240868
1.865997637,3.381613706,0.133248428,1.847711786,53,BASAKSEHIR,12.35017092
1.650211037,7.529443508,0.185067753,3.094081323,34,BAKIRKOY,-13.28488992
1.873027919,29.53081591,0.215796322,2.073302314,123,KAGITHANE,-24.47769508
1.775048643,10.14379771,0.110836886,1.298842824,88,AVCILAR,-3.820170826